mun,zip,prov,year,geom_id,bin_pop,percentile_bin,r_bin
AGRATE CONTURBIA,NA,NO,2011,5RvQ,0.42400442645416875,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGRATE CONTURBIA,NA,NO,2011,5RvQ,0.1505011180488085,"[0.9,1)","[4.53e+04,Inf)"
AGRIGENTO,NA,AG,2011,oDbB,0.5099515258812856,"[0,0.5)","[0,1.6e+04)"
AGRIGENTO,NA,AG,2011,oDbB,0.38047959353831684,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGRIGENTO,NA,AG,2011,oDbB,0.1095688805803976,"[0.9,1)","[4.53e+04,Inf)"
AGROPOLI,NA,SA,2011,5sNA,0.5849316034338281,"[0,0.5)","[0,1.6e+04)"
AGROPOLI,NA,SA,2011,5sNA,0.32838656163226887,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGROPOLI,NA,SA,2011,5sNA,0.08668183493390302,"[0.9,1)","[4.53e+04,Inf)"
AGUGLIANO,NA,AN,2011,ARrd,0.44399518196412113,"[0,0.5)","[0,1.6e+04)"
AGUGLIANO,NA,AN,2011,ARrd,0.4605344539672773,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGUGLIANO,NA,AN,2011,ARrd,0.09547036406860154,"[0.9,1)","[4.53e+04,Inf)"
AGUGLIARO,NA,VI,2011,4qGO,0.49151544575870837,"[0,0.5)","[0,1.6e+04)"
AGUGLIARO,NA,VI,2011,4qGO,0.44706237262374365,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGUGLIARO,NA,VI,2011,4qGO,0.06142218161754798,"[0.9,1)","[4.53e+04,Inf)"
AICURZIO,NA,MB,2011,Ej2E,0.356321892247268,"[0,0.5)","[0,1.6e+04)"
AICURZIO,NA,MB,2011,Ej2E,0.49918644489741865,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AICURZIO,NA,MB,2011,Ej2E,0.14449166285531334,"[0.9,1)","[4.53e+04,Inf)"
AIDOMAGGIORE,NA,OR,2011,Z335,0.7713998660787758,"[0,0.5)","[0,1.6e+04)"
AIDOMAGGIORE,NA,OR,2011,Z335,0.21002930670068154,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AIDOMAGGIORE,NA,OR,2011,Z335,0.018570827220542707,"[0.9,1)","[4.53e+04,Inf)"
AIDONE,NA,EN,2011,37EW,0.7128739118030101,"[0,0.5)","[0,1.6e+04)"
AIDONE,NA,EN,2011,37EW,0.2431417050527468,"[0.5,0.9)","[1.6e+04,4.53e+04)"
